role,benchmark,parent_tool_id,parent_tool_en,parent_tool_zh,subtool_name_en,subtool_name_zh,expert_label_cqj,expert_label_second_expert_yzx,expert_label_source,expert_label_match_note,expert_label_excel_row
primary,BBQ (2022),T06,Contrast-Set Builder,对照集构造器,Disambiguated-Ambiguous Context Pairing Template,消歧模糊上下文配对模板,模糊消歧,模糊/消歧BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,41
secondary,BBQ (2022),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Disambiguated-Ambiguous Context Pairing Template,消歧-模糊上下文配对模板,模糊消歧,模糊/消歧BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,41
primary,HolisticBias (2022),T06,Contrast-Set Builder,对照集构造器,HolisticBias Descriptor Bucketing Framework,整体偏见描述符分桶框架,具体细粒度描述，术语,身份词大覆盖,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,42
secondary,HolisticBias (2022),T07,Behavioral Coverage Matrix,行为覆盖矩阵,HolisticBias Descriptor Bucketing Framework,整体偏见描述符分桶框架,具体细粒度描述，术语,身份词大覆盖,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,42
primary,Panda (2022),T06,Contrast-Set Builder,对照集构造器,Demographic Perturbation Augmentation Pipeline with Legal Anchoring,人口扰动增强流水线与法律锚定对照集构造器,改写成中性，normative合规,人口属性扰动,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,43
secondary,Panda (2022),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Demographic Perturbation Augmentation Pipeline with Legal Anchoring,人口统计扰动增强流水线与法律锚定台账,改写成中性，normative合规,人口属性扰动,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,43
primary,Grep-BiasIR (2023),T06,Contrast-Set Builder,对照集构造器,Controlled Query-Document Pair Template with Gender-Aware Document Variants,性别感知文档变体的对照查询文档对模板,系统偏差，职位、中性、男性女性,检索性别控制,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,44
secondary,Grep-BiasIR (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Controlled Query-Document Pair Template with Gender-Aware Document Variants,性别感知文档变体的控制查询-文档对模板,系统偏差，职位、中性、男性女性,检索性别控制,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,44
primary,MoralChoice (2023),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Multi-Prompt Consistency Scoring Framework (MPCS),多提示一致性评分框架,细致度相互验证（'ab'二选一、'compare'对比陈述、'repeat'重复确认）,三种提示互验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,45
secondary,MoralChoice (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Multi-Prompt Consistency Scoring Framework (MPCS),多提示一致性评分框架,细致度相互验证（'ab'二选一、'compare'对比陈述、'repeat'重复确认）,三种提示互验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,45
primary,TrustGPT (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,SocialNorm-Grounded Cloze Task with Multi-Attribute Toxicity Anchoring,基于社会规范的完形任务与多属性毒性锚定,填空，隐性刻板印象,规范条件毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,46
secondary,TrustGPT (2023),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,SocialNorm-Grounded Cloze Task with Multi-Attribute Toxicity Anchoring,社会规范基础完形任务与多属性毒性锚定映射器,填空，隐性刻板印象,规范条件毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,46
primary,WinoQueer (2023),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Community-in-the-Loop sentence pair generation protocol,社区参与的句子对生成协议,,queer句对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,47
secondary,WinoQueer (2023),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Community-in-the-Loop sentence pair generation protocol,社区参与的句子对生成协议,,queer句对,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,47
primary,CBBQ (2024),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Four-stage human-AI co-authored ambiguous/disambiguated QA template pipeline,四阶段人机协作模糊与澄清问答模板流水线,三重验证模式,中文BBQ流程,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,48
secondary,CBBQ (2024),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Four-stage human-AI co-authored ambiguous/disambiguated QA template pipeline,四阶段人机协作模糊与澄清问答模板流程,三重验证模式,中文BBQ流程,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,48
primary,KoBBQ (2024),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,BBQ cultural filter + Korea-specific dimension re-engineering framework,BBQ文化过滤与韩国特定维度重构框架,文化适配,韩语BBQ改造,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,49
secondary,KoBBQ (2024),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,BBQ cultural filter + Korea-specific dimension re-engineering framework,BBQ文化过滤器与韩国特定维度重构框架映射器,文化适配,韩语BBQ改造,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,49
primary,FLEX (2025),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Adversarial Fairness Sensitivity Probe (AFSP),对抗公平敏感性探测器,变换语义但是（从结果转向行为）,语义保持扰动,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,50
secondary,FLEX (2025),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Adversarial Fairness Sensitivity Probe (AFSP),对抗公平敏感度探测器,变换语义但是（从结果转向行为）,语义保持扰动,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,50
primary,Phare (2025),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Multilingual Safety Failure-Mode Probe (Phare),多语言安全失败模式探针,判断+生成，隐性评价倾向,判别/生成公平差,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,benchmark-only match; Excel dimension=Fairness&inclusive; codebook dimension=Safety,51
secondary,Phare (2025),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Multilingual Safety Failure-Mode Probe (Phare),多语言安全失败模式探针,判断+生成，隐性评价倾向,判别/生成公平差,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,benchmark-only match; Excel dimension=Fairness&inclusive; codebook dimension=Safety,51
primary,BharatBBQ (2024/2025),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Culturally-Localized BBQ Template Adapter (CL-BTA),文化本地化 BBQ 模板适配器,模块化文化适配包,印度语境BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,52
secondary,BharatBBQ (2024/2025),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Culturally-Localized BBQ Template Adapter (CL-BTA),文化本地化 BBQ 模板适配器,模块化文化适配包,印度语境BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,52
primary,JBBQ (2024/2025),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,"Culturally grounded, language-specific BBQ template adaptation framework",文化基础 BBQ 模板跨语言适配框架,文化和语言适应性,日语BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,53
secondary,JBBQ (2024/2025),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,"Culturally grounded, language-specific BBQ template adaptation framework",文化基础语言特定BBQ模板适应框架,文化和语言适应性,日语BBQ,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,53
primary,RealToxicityPrompts (2020),T11,Multi-Metric Failure-Mode Profile,多指标失败模式画像,Expected Maximum Toxicity (EMT) scoring framework,预期最大毒性评分框架,最坏但最合理的毒性,最大毒性续写,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,54
secondary,RealToxicityPrompts (2020),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Expected Maximum Toxicity (EMT) scoring framework,预期最大毒性评分框架,最坏但最合理的毒性,最大毒性续写,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,54
primary,HateCheck (2021),T07,Behavioral Coverage Matrix,行为覆盖矩阵,Functional test suite with behaviorally-defined test cases,行为定义测试用例的功能测试套件,过程行为,功能点安全测试,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,55
secondary,HateCheck (2021),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Functional test suite with behaviorally-defined test cases,行为定义测试用例的功能测试套件,过程行为,功能点安全测试,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,55
primary,ToxiGen (2022),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,ALICE-guided implicit toxicity generation pipeline,ALICE引导的隐式毒性生成流程,"隐性有害（体身份锚点（如'as a Black person'）、构造虚假关联前提（如'if the chef is white, the food is better'）和良性语境掩护（如'you have probably noticed...'），）",隐性身份毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,56
secondary,ToxiGen (2022),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,ALICE-guided implicit toxicity generation pipeline,ALICE引导的隐性毒性生成流程,"隐性有害（体身份锚点（如'as a Black person'）、构造虚假关联前提（如'if the chef is white, the food is better'）和良性语境掩护（如'you have probably noticed...'），）",隐性身份毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,56
primary,ToxicChat (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Real-world user-AI prompt injection template with toxicity-labeled continuation pairs,带毒性标签的现实用户-AI提示注入模板,输入、输出传导链,提示-回复毒性链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,57
secondary,ToxicChat (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Real-world user-AI prompt injection template with toxicity-labeled continuation pairs,现实用户-AI提示注入模板含毒性标注续对,输入、输出传导链,提示-回复毒性链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,57
primary,Chinese-Safeguard (2024),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,China-specific safeguard refusal taxonomy with policy-aligned multi-tier labeling schema,中国特定保护拒绝分类与政策对齐多级标签体系,normative,中文安全拒答,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,58
secondary,Chinese-Safeguard (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,China-specific safeguard refusal taxonomy with policy-aligned multi-tier labeling schema,中国特定保护拒绝分类与政策对齐多层标记方案台账,normative,中文安全拒答,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,58
primary,Do-not-answer (2024),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Hierarchical red-team prompt taxonomy with behavior-risk dual annotation,层级红队提示分类与行为风险双重标注,风险分级,风险分级拒答,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,59
secondary,Do-not-answer (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Hierarchical red-team prompt taxonomy with behavior-risk dual annotation,多轮对抗红队提示分类与行为风险双标注,风险分级,风险分级拒答,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,59
primary,FFT (2024),T07,Behavioral Coverage Matrix,行为覆盖矩阵,"Three-dimensional scenario taxonomy (True-False decision, open-generation, identity/context-sensitive assessment)",三维场景分类（真伪决策、开放生成、身份/上下文敏感评估）,多种提醒（判断题、开放生成、反事实）,判断/生成/反事实,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,60
secondary,FFT (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,"Three-dimensional scenario taxonomy (True-False decision, open-generation, identity/context-sensitive assessment)",三维场景分类：真假决策、开放生成、身份/上下文敏感评估,多种提醒（判断题、开放生成、反事实）,判断/生成/反事实,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,60
primary,HarmBench (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Policy-grounded red-teaming taxonomy with explicit red-line vs. disputed-behavior labeling,基于政策的红队分类与红线行为标注,区分禁止行为和争议行为,红线vs争议行为,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,61
secondary,HarmBench (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Policy-grounded red-teaming taxonomy with explicit red-line vs. disputed-behavior labeling,基于政策的红队分类与红线行为标注台账,区分禁止行为和争议行为,红线vs争议行为,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,61
primary,JailBreakV (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Multi-modal jailbreak transferability probe with cross-policy attack coverage,多模态越狱可迁移性探测与跨策略攻击覆盖,逻辑提示攻击、角色扮演、token 走私,图文越狱迁移,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,62
secondary,JailBreakV (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-modal jailbreak transferability probe with cross-policy attack coverage,多模态越狱迁移性探测与跨策略攻击覆盖台账,逻辑提示攻击、角色扮演、token 走私,图文越狱迁移,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,62
primary,LifeTox (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Implicit Toxicity Classification Template with Real-World Advice Context,隐含毒性分类模板与现实建议上下文,细粒度,生活建议毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,63
secondary,LifeTox (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Implicit Toxicity Classification Template with Real-World Advice Context,隐性毒性分类模板与现实建议情境台账,细粒度,生活建议毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,63
primary,MM-SafetyBench (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Cross-Modal Jailbreak Probe Construction Framework,跨模态越狱探测构建框架,,图文越狱,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,64
secondary,MM-SafetyBench (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Cross-Modal Jailbreak Probe Construction Framework,跨模态越狱探测构建框架,,图文越狱,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,64
primary,SALAD-bench (2024),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Three-Tier Hierarchical Safety Taxonomy with Attack-Enhanced Dual-Track Evaluation,三层次安全分类与攻防双轨评估,分级（宏观-中观-微观），基础和强化、多选和开放生成,三级安全分类,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,65
secondary,SALAD-bench (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Three-Tier Hierarchical Safety Taxonomy with Attack-Enhanced Dual-Track Evaluation,三层安全分类与攻防双轨评估,分级（宏观-中观-微观），基础和强化、多选和开放生成,三级安全分类,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,65
primary,SafetyBench (2024),T07,Behavioral Coverage Matrix,行为覆盖矩阵,Bilingual seven-category MCQ safety benchmark template,双语七类安全多选题模板,隐式毒性,MCQ隐性毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,66
secondary,SafetyBench (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Bilingual seven-category MCQ safety benchmark template,双语七类安全多选题模板,隐式毒性,MCQ隐性毒性,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,66
primary,XSTest (2024),T06,Contrast-Set Builder,对照集构造器,Controlled Over-refusal Contrast Pair Framework,对照集构造器控制过度拒绝对比框架,过度拒绝,过拒/该拒对照,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,67
secondary,XSTest (2024),T12,Rubric-Based & Multi-Judge Evaluation Protocol,细则化与多评分者评估协议,Controlled Over-refusal Contrast Pair Framework,受控过度拒绝对比对框架,过度拒绝,过拒/该拒对照,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,67
primary,Agent-SafetyBench (2025),T09,Agent & Workflow Simulation,智能体与工作流仿真,Multi-turn Tool-Invocation Safety Test Case Generator with Failure Mode Taxonomy,多轮工具调用安全测试用例生成器与失效模式分类,agent 行为过程,agent工具安全,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,68
secondary,Agent-SafetyBench (2025),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Multi-turn Tool-Invocation Safety Test Case Generator with Failure Mode Taxonomy,多轮工具调用安全测试用例生成器及失效模式分类,agent 行为过程,agent工具安全,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,68
primary,SafeInfer (2025),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Context-Adaptive Decoding-Time Safety Alignment (SA phase + HARMEV framework),上下文自适应解码时安全对齐,安全引导，风险感知，动态，情境,风险感知解码,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,69
secondary,SafeInfer (2025),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Context-Adaptive Decoding-Time Safety Alignment (SA phase + HARMEV framework),上下文自适应解码时安全对齐,安全引导，风险感知，动态，情境,风险感知解码,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,69
primary,SaFeRDialogues (2022),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Graceful Recovery Dialogue Template (Acknowledge-Apologize-Correct protocol),优雅恢复对话模板（认错-道歉-纠正协议）,多轮对话（承认-道歉-纠正）,道歉纠正对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,70
secondary,SaFeRDialogues (2022),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Graceful Recovery Dialogue Template (Acknowledge-Apologize-Correct protocol),优雅恢复对话模板,多轮对话（承认-道歉-纠正）,道歉纠正对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,70
primary,BAD / Bot-Adversarial Dialogue (2021),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Human-Led Adversarial Dialogue Protocol (HALADP),人类主导对抗对话协议,多轮对话,红队多轮对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,71
secondary,BAD / Bot-Adversarial Dialogue (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Human-Led Adversarial Dialogue Protocol (HALADP),人类主导对抗对话协议,多轮对话,红队多轮对话,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,71
primary,TechHazardQA (2025),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Instruction-Centric Harmful Query Evaluation (TechHazardQA),指令格式有害查询评估,,,,,
secondary,TechHazardQA (2025),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Instruction-Centric Harmful Query Evaluation (TechHazardQA),指令格式有害查询评估,,,,,
primary,HH-RLHF / Anthropic H&H (2022),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Human preference-based helpful-harmless pairwise ranking template,基于人类偏好的有益无害成对排序模板,两级分类，helpful和harmful,HH偏好排序,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,73
secondary,HH-RLHF / Anthropic H&H (2022),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Human preference-based helpful-harmless pairwise ranking template,基于人类偏好的有益无害成对排序模板,两级分类，helpful和harmful,HH偏好排序,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,73
primary,AdvBench (2023),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Adversarial harmful instruction template with jailbreak-resistant prompt engineering,对抗性有害指令模板与防越狱提示工程,隐性（语义模糊、上下颚二年伪装、多步诱导）,越狱指令模板,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,74
secondary,AdvBench (2023),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Adversarial harmful instruction template with jailbreak-resistant prompt engineering,对抗性有害指令模板与防越狱提示工程,隐性（语义模糊、上下颚二年伪装、多步诱导）,越狱指令模板,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,74
primary,Red-Eval (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Red-team adversarial prompt template suite with role-play and injection scaffolds,红队对抗提示模板套件含角色扮演和注入框架,动态（角色扮演、上下文、多轮诱导,角色扮演红队,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,75
secondary,Red-Eval (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Red-team adversarial prompt template suite with role-play and injection scaffolds,红队对抗提示模板套件含角色扮演与注入框架,动态（角色扮演、上下文、多轮诱导,角色扮演红队,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,75
primary,LatentJailbreak (2024),T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Cross-lingual latent jailbreak translation pipeline with semantic-preserving obfuscation,跨语言隐式越狱翻译流水线与语义保留混淆,跨语言，隐性,跨语越狱,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,76
secondary,LatentJailbreak (2024),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Cross-lingual latent jailbreak translation pipeline with semantic-preserving obfuscation,跨语言隐式越狱翻译流程与语义保留混淆,跨语言，隐性,跨语越狱,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,76
primary,CyberSec.Eval (2024),T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Domain-grounded security risk chain annotation schema with CVE-mapped harm pathways,基于领域的安全风险链注释方案与CVE映射危害路径,风险过程、链条,CVE风险链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,77
secondary,CyberSec.Eval (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Domain-grounded security risk chain annotation schema with CVE-mapped harm pathways,基于领域的安全风险链注释方案与CVE映射危害路径台账,风险过程、链条,CVE风险链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,77
primary,C-Do-not-answer (2024),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Normatively grounded Chinese safety refusal template set with dual-layer legal-policy-social annotation,基于规范的中文安全拒绝模板集及双层法律政策社会标注,normative，do not answer,中文拒答模板,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,78
secondary,C-Do-not-answer (2024),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Normatively grounded Chinese safety refusal template set with dual-layer legal-policy-social annotation,规范基础中文安全拒绝模板集及双层法律-政策-社会标注,normative，do not answer,中文拒答模板,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,78
primary,FEVER (2018),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Evidence-grounded claim verification pipeline with explicit sentence-level retrieval + entailment classification,基于证据的声明验证流水线含显式句子级检索与蕴含分类,normative，主张-证据，逻辑关系分类,事实主张核验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,79
secondary,FEVER (2018),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Evidence-grounded claim verification pipeline with explicit sentence-level retrieval + entailment classification,基于证据的声明验证流程与句子级检索及蕴含分类,normative，主张-证据，逻辑关系分类,事实主张核验,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,79
primary,HotpotQA (2018),T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Multi-hop supporting fact annotation with explicit evidence chaining and distractor injection,多跳支持事实标注与显式证据链及干扰项注入,多跳，异构文档,多跳证据链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,80
secondary,HotpotQA (2018),T13,Reproducible Evaluation & Benchmark Card Package,可复现评测与基准卡包,Multi-hop supporting fact annotation with explicit evidence chaining and distractor injection,多跳支持事实注释与显式证据链及干扰项注入,多跳，异构文档,多跳证据链,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,80
primary,TruthfulQA (2022),T06,Contrast-Set Builder,对照集构造器,Imitative falsehood prompting framework with expert-curated false answer templates and counterfactual contrast sets,模仿虚假提示框架与专家策划的错误答案模板及反事实对比集构造器,正确错误,常见谬误真伪,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,81
